chip,fet_size,GateV_V,DrainI_at_Vd_A,R_at_Vd_ohm,GateI_at_Vd_A
19,nmos6_pattern4,3.0,0.0010085488902404904,4957.617868983763,2.7709780624718405e-05
19,nmos6_pattern4,4.0,0.0016767631750553846,2981.935716613556,6.32322407909669e-05
19,nmos6_pattern4,5.0,0.002368765417486429,2110.8042033582437,0.00011398887727409601
19,nmos6_pattern4,6.0,0.0029091364704072475,1718.7230818704268,0.00018711929442360997
19,nmos6_pattern5,0.0,6.656483947153902e-06,751147.3083530591,-2.854492095138994e-06
19,nmos6_pattern5,1.0,0.000122385288705118,40854.583527986615,1.8672044461709447e-05
19,nmos6_pattern5,2.0,0.0005248932866379619,9525.745760678175,6.506662612082437e-05
19,nmos6_pattern5,3.0,0.0011333586880937219,4411.666008763618,0.00016074601444415748
19,nmos6_pattern5,4.0,0.0018041180446743965,2771.437276379767,0.0002906946465373039
19,nmos6_pattern5,5.0,0.002484430791810155,2012.533420726525,0.0004432326531969011
19,nmos6_pattern5,6.0,0.003140535904094577,1592.084966607478,0.0006112857372500002
19,nmos6_pattern6,0.0,1.0014589861384593e-05,499271.5697004802,-5.667081803828466e-10
19,nmos6_pattern6,1.0,0.0001604301214683801,31166.217130774116,-3.8387076850554536e-10
19,nmos6_pattern6,2.0,0.0005663534975610673,8828.408443722681,-2.8888413883265684e-10
19,nmos6_pattern6,3.0,0.0011251709656789899,4443.769127105697,-6.160572746383153e-11
19,nmos6_pattern6,4.0,0.0018183119827881455,2749.8031401262333,3.5782438123632687e-10
19,nmos6_pattern6,5.0,0.002552468329668045,1958.8881640111329,1.1625803653103617e-09
19,nmos6_pattern6,6.0,0.003217655001208186,1553.9266944786086,3.389561298305921e-09
19,nmos6_pattern7,0.0,6.837000000814442e-06,731314.9041106313,-5.371465494619088e-10
19,nmos6_pattern7,1.0,0.0001488394773332402,33593.23809506118,5.707638024432526e-07
19,nmos6_pattern7,2.0,0.000558610016014427,8950.788307868199,1.0599029337754473e-05
19,nmos6_pattern7,3.0,0.0011535518569871783,4334.438863510559,3.5297038266435266e-05
19,nmos6_pattern7,4.0,0.0019040287006646395,2626.0108359998194,7.339479634538293e-05
19,nmos6_pattern7,5.0,0.0026428510900586843,1891.8962248035607,0.00013911057612858713
19,nmos6_pattern7,6.0,0.003297486575320363,1516.306400584582,0.0002173004613723606
19,nmos6_pattern8,0.0,9.510737982054707e-06,525721.5590876573,-6.467555380140766e-10
19,nmos6_pattern8,1.0,0.00014067631855141371,35542.58493175327,-3.353852751075692e-10
19,nmos6_pattern8,2.0,0.000605895824264735,8252.243702236414,-1.8347809382923685e-10
19,nmos6_pattern8,3.0,0.001318454509600997,3792.3189337136455,8.194278589002124e-10
19,nmos6_pattern8,4.0,0.00208677863702178,2396.0375630143153,3.2656966020283562e-09
19,nmos6_pattern8,5.0,0.00285109574906528,1753.71170948546,4.160101152450579e-09
19,nmos6_pattern8,6.0,0.003497554687783122,1429.5702130019254,5.756607190932073e-09
19,nmos7_pattern1,0.0,4.0884224290493876e-06,1222965.6026915414,-5.425530580360771e-10
19,nmos7_pattern1,1.0,0.00014001417730469257,35710.66942113458,-3.073239163153829e-10
19,nmos7_pattern1,2.0,0.0005824554827995598,8584.347040511331,-6.032865873528692e-11
19,nmos7_pattern1,3.0,0.0012168948305770755,4108.818506221201,8.835562836928545e-10
19,nmos7_pattern1,4.0,0.0019331066869199276,2586.5101154694357,4.579236101420747e-09
19,nmos7_pattern1,5.0,0.0026746075600385666,1869.4331365487885,6.387645079541926e-09
