chip,nmos,pattern,fet_size,filename,Vth_Vd1V,Vth_Vd5V,Vth_Vd10V,Vth_Vd200mV,Vd_ref_V,Ion_A,Ioff_A,Ron_ohm,Roff_ohm,Ion_Ioff_ratio
19,4,6,nmos4_pattern6,nmos4 pattern6 chip19.xls,0.6161892584552482,1.2034943025651783,1.3331778392507236,0.11321864741471965,5.0,0.004420650191605091,9.448424862057436e-06,1131.0553387587886,529188.7349476395,467.8716565083077
19,4,7,nmos4_pattern7,nmos4 pattern7 chip19.xls,0.41417963479087927,1.1174619245172202,1.1984408866473713,0.06552917774891076,5.0,0.0046120258048176765,1.0693759577407036e-05,1084.1222949743797,467562.4100025234,431.2819800588761
19,4,8,nmos4_pattern8,nmos4 pattern8 chip19.xls,0.6763498712178371,1.2589766807721592,1.3619839628848052,0.14156149147542263,5.0,0.004533070605248213,8.207810424210038e-06,1103.005100827504,609175.8631817115,552.2874397631448
19,5,1,nmos5_pattern1,nmos5 pattern1 chip19.xls,0.7049656199570817,1.5729677831765585,1.6227661103057205,0.11211432702365642,5.0,0.004061923362314701,1.3323401617526542e-05,1230.9439529038118,375279.53772876196,304.8713443398239
19,5,2,nmos5_pattern2,nmos5 pattern2 chip19.xls,0.8075161413777106,1.3367562237009496,1.3976324624140886,0.3255079259990501,5.0,0.00408409908413887,1.5197049378912197e-06,1224.2602094102344,3290112.3601915278,2687.428975394439
19,5,3,nmos5_pattern3,nmos5 pattern3 chip19.xls,0.297844843321198,1.4450633563419166,1.2754240038066196,-0.04401329182571976,5.0,0.0030654924921691418,1.8088487195200287e-05,1631.0592874628119,276418.91475185007,169.4720215730677
19,5,4,nmos5_pattern4,nmos5 pattern4 chip19.xls,0.5696767139072203,1.2224777839549534,1.3246346868418772,-0.0007754785998033142,5.0,0.0035632268991321325,3.8331359064613935e-06,1403.2224558076307,1304415.006932486,929.5853280666923
19,5,5,nmos5_pattern5,nmos5 pattern5 chip19.xls,0.6913200663270698,1.2415065569403942,1.4355066606871696,3.5153832733563677,5.0,0.0037140788044780493,2.2844403702038107e-06,1346.2288398327792,2188719.8568259915,1625.8156058355291
19,5,6,nmos5_pattern6,nmos5 pattern6 chip19.xls,0.70986677482587,1.193422852768438,1.3958076635600354,0.22605624223450804,5.0,0.004033043049275875,7.366948466369649e-06,1239.7586484720862,678707.0688528848,547.450965306306
19,5,7,nmos5_pattern7,nmos5 pattern7 chip19.xls,0.36093069865430016,1.2532856995187505,1.2769393193162988,4.763584600462293,5.0,0.004011467564851046,1.1829656614281703e-05,1246.426630445823,422666.53741779807,339.1026211198796
19,5,8,nmos5_pattern8,nmos5 pattern8 chip19.xls,0.5624323522470753,1.2924352659179563,1.3787339011729514,0.07284812997346124,5.0,0.003950545564293861,1.008728941087611e-05,1265.6479766216094,495673.2969918562,391.6359889540182
19,6,1,nmos6_pattern1,nmos6 pattern1 chip19.xls,0.5352048302775976,1.7823415735639365,1.7174886077404499,0.019489384100646823,5.0,0.0033372717443853617,1.6926517218962545e-06,1498.2298065514199,2953944.946452758,1971.6234008533438
19,6,2,nmos6_pattern2,nmos6 pattern2 chip19.xls,0.721037992179187,1.3234962287146033,1.4715319142432137,0.2132415448209497,5.0,0.0035157152451574802,8.865396011970006e-06,1422.1857150936676,563990.5981920074,396.5660688378254
19,6,3,nmos6_pattern3,nmos6 pattern3 chip19.xls,0.4532919529677746,1.2344979038607418,1.4008389330542674,0.029901363489929556,5.0,0.003155070124194026,2.9883423849241808e-05,1584.750830626076,167316.83843271722,105.57927164273298
19,6,4,nmos6_pattern4,nmos6 pattern4 chip19.xls,0.24519985722792303,1.5345643263865276,1.549004536838877,-0.0031438711771464593,5.0,0.0029091364704072475,2.43220688389556e-06,1718.7230818704268,2055746.1756673087,1196.0892347067984
19,6,5,nmos6_pattern5,nmos6 pattern5 chip19.xls,0.4331907092353493,1.3293534227940063,1.6021364968748086,-0.012220266420136204,5.0,0.003140535904094577,6.656483947153902e-06,1592.084966607478,751147.3083530591,471.8010182293565
19,6,6,nmos6_pattern6,nmos6 pattern6 chip19.xls,0.5842258816235539,1.452090883561544,1.514571636279729,0.07374774743256585,5.0,0.003217655001208186,1.0014589861384593e-05,1553.9266944786086,499271.5697004802,321.2967326415623
19,6,7,nmos6_pattern7,nmos6 pattern7 chip19.xls,0.22983532502611004,1.4430542118284686,1.6538426010750684,-0.01563236696621414,5.0,0.003297486575320363,6.837000000814442e-06,1516.306400584582,731314.9041106313,482.3002157273011
19,6,8,nmos6_pattern8,nmos6 pattern8 chip19.xls,0.5154022353959566,1.2768857012470978,1.4534721562092856,-0.004867177759945385,5.0,0.003497554687783122,9.510737982054707e-06,1429.5702130019254,525721.5590876573,367.74798069113746
19,7,1,nmos7_pattern1,nmos7 pattern1 chip19.xls,0.6805052106110374,1.347753576064254,1.4084225355488416,0.03498789289663229,5.0,0.0033369145821779966,4.0884224290493876e-06,1498.3901675830466,1222965.6026915414,816.1863506247014
